الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
معبد الشمس,29.8662695,31.2169648,ثقافي,"معبد الشمس is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",82,
Wissa Wassef Art Center,29.9692025,31.176465,ثقافي,"Wissa Wassef Art Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",87,
سعد زغلول,30.043433,31.2271103,ثقافي,تمثال سعد زغلول يخلّد ذكرى زعيم الثورة المصرية عام 1919 ورمز الكفاح الوطني ضد الاحتلال البريطاني. قاد سعد زغلول الوفد المصري في مفاوضات الاستقلال وأسّس حزب الوفد الوطني. يُعدّ من أبرز رموز الهوية الوطنية المصرية الحديثة.,93,
تمثال نجيب محفوظ,30.060569,31.2082276,ثقافي,تمثال نجيب محفوظ يُكرّم الروائي المصري الوحيد الحائز على جائزة نوبل للآداب عام 1988. ارتبطت أعماله بأحياء القاهرة التاريخية ولا سيما أرباض القاهرة الفاطمية التي صوّرها في ثلاثيته الشهيرة. يُعدّ نجيب محفوظ صوت الضمير الأدبي للمجتمع المصري في القرن العشرين.,94,
Tombs of 3rd Dynasty,29.8768204,31.2132845,أخرى,Tombs of 3rd Dynasty is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,95,
Philosopher's Circle,29.8748295,31.2125335,تاريخي,"The Philosopher's Circle in Alexandria is a unique cultural landmark featuring statues of ancient Greek philosophers and thinkers who studied at or were associated with ancient Alexandria. The circle commemorates the city's golden age as the intellectual capital of the Hellenistic world, home to the Library of Alexandria and the Mouseion research center.",96,
Pyramid of Inének Int,29.8536023,31.2188051,تاريخي,"The pyramid of Inének-Inti at Saqqara is an Old Kingdom pyramid from the 6th Dynasty, built for a queen consort of Pepi I. Though largely ruined today, its burial chamber preserves Pyramid Texts inscribed on the walls, offering valuable insight into ancient Egyptian funerary beliefs and royal rituals.",97,
Pyramid of Ânkhésenpépi II,29.8531752,31.2180183,تاريخي,The pyramid of Ankhesenpepi II at Saqqara dates to the 6th Dynasty and was built for a queen who served as regent for her son Pepi II. The complex includes a mortuary temple and subsidiary pyramids. Its Pyramid Texts represent some of the oldest religious writings in human history.,98,
Pyramid of Ânkhésenpépi III,29.8536735,31.2179984,تاريخي,"The pyramid of Ankhesenpepi III is one of several queens' pyramids located at South Saqqara, dating to the late Old Kingdom 6th Dynasty. The structure, though heavily damaged, forms part of the extensive royal necropolis at Saqqara that spans multiple dynasties.",99,
مسجد خاير بك,30.0358707,31.260191,أخرى,مسجد خاير بك is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,101,
جامع ومدرسة أم السلطان شعبان,30.0371528,31.2595924,أخرى,"جامع ومدرسة أم السلطان شعبان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",102,
مسجد و مقام بدر الدين العيني,30.0447584,31.2632964,أخرى,مسجد و مقام بدر الدين العيني is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,106,
مدفن سليمان باشا الفرنساوي,30.0096136,31.2285789,تاريخي,مدفن سليمان باشا الفرنساوي is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,107,
Public garden,29.9432957,31.0930256,خارجي وطبيعي,"Public garden is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",110,
Ain Helwan,29.860913,31.324357,خارجي وطبيعي,"Ain Helwan is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",115,
MUST Opera House,29.9966129,30.9652826,أخرى,"MUST Opera House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",118,
Art al-lewa,30.0498157,31.1872587,أخرى,"Art al-lewa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",120,
المشربية,30.0439378,31.1999059,ثقافي,"المشربية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",122,
Egyptian Textile Museum,30.049967,31.2613757,ثقافي,"The Egyptian Textile Museum in Cairo's Islamic Quarter is the first museum in the Arab world dedicated entirely to textiles. Located in a restored historic building, it traces the 5,000-year history of Egyptian textile production from pharaonic linen to Islamic tapestries and Coptic weavings. The collection includes rare Fatimid-era tiraz fabrics and royal garments.",126,80.0
تمثال اتحاد الكاف,29.9955542,30.9625645,أخرى,"تمثال اتحاد الكاف is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",129,
Talaat Harb Culture Center,30.0238453,31.2524145,ثقافي,"Talaat Harb Culture Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",135,
المريوطية,30.0697,31.2019873,ثقافي,"المريوطية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",139,
شبرا,30.0784996,31.2433049,ثقافي,"شبرا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",140,
Ahmed Mido,30.0786802,31.2434138,ثقافي,"Ahmed Mido is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",141,
Mohamed Fares,29.8434547,31.340682,أخرى,"Mohamed Fares is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",142,
كورنيش المقطم,30.0161162,31.2757109,أخرى,"كورنيش المقطم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",143,
خان الخليلي و ش الحسين,30.047772,31.261014,ثقافي,"خان الخليلي و ش الحسين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",144,
تلة الهضبة الحديق الاهرام,29.9698056,31.1073204,أخرى,"تلة الهضبة الحديق الاهرام is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",145,
7ay l 10,30.0491881,31.3790205,أخرى,"7ay l 10 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",148,
Mohamed Awad,29.9965768,31.2941209,أخرى,"Mohamed Awad is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",149,
المنزل - أكتوبر,29.9518724,30.9213208,ثقافي,"المنزل - أكتوبر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",156,
Arch Valley CNC company,29.9449937,31.0486152,ثقافي,"Arch Valley CNC company is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",159,
برج الدوحه 11 ش دجله,30.047909,31.1954244,أخرى,"برج الدوحه 11 ش دجله is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",161,
ايجوث,30.0476021,31.2450357,ثقافي,"ايجوث is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",163,
كومباوند الكرمه ريزيدنس مصر,30.0517604,30.9588135,أخرى,"كومباوند الكرمه ريزيدنس مصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",170,
Mozart,30.0538978,31.1980511,ثقافي,"Mozart is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",174,
بتروتريد,29.9777086,31.2784966,ثقافي,"بتروتريد is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",178,
مستشفى ناصر,30.0965672,31.2406548,ثقافي,"مستشفى ناصر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",181,
مترو دقي,30.0386086,31.2122581,ثقافي,"مترو دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",182,
رمسيس,30.0616901,31.2470284,ثقافي,"رمسيس is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",184,
العتبة,30.0509915,31.2499736,ثقافي,"العتبة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",185,
موقف العاشر,30.0487931,31.378874,ثقافي,"موقف العاشر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",186,
التعليم الخاص,30.0380547,31.3413567,ثقافي,"التعليم الخاص is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",187,
العودة,30.0532485,31.342352,ثقافي,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",188,
مركز الفتح,29.9633978,31.2582621,ثقافي,"مركز الفتح is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",189,
مصاري,30.0450738,31.2401143,ثقافي,"مصاري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",190,
محل اواعي,30.0508375,31.2424482,ثقافي,"محل اواعي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",191,
دقي,30.0389658,31.2099693,ثقافي,"دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",193,
تركترون,30.0461664,31.3547934,ثقافي,"تركترون is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",194,
اول الشارع,30.0684326,31.3363238,ثقافي,"اول الشارع is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",195,
سراج مول,30.0512224,31.3501105,ثقافي,"سراج مول is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",196,
هوندا,30.0169758,31.2290052,ثقافي,"هوندا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",197,
شركه رفتراك مصر للتبريد,30.1389147,31.3968,أخرى,"شركه رفتراك مصر للتبريد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",199,
رسم زجاج و اركت وكروشية,30.0531415,30.9880123,ثقافي,"رسم زجاج و اركت وكروشية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",202,
شركة إيواي للسياحة,30.1068587,31.3266973,ثقافي,"شركة إيواي للسياحة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",204,
No name,30.1189384,31.3063474,أخرى,"No name is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",205,
Arabeya Apartments,30.0666781,31.2087436,أخرى,"Arabeya Apartments is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",207,
Photo point of Pyramids,29.9688067,31.1265741,أخرى,Photo point of Pyramids is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,210,
آثار عين شمس . مدينة اون القديمة .,30.1260972,31.3192333,أخرى,"آثار عين شمس . مدينة اون القديمة . is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",211,
49 Amman Street,30.0411108,31.2042596,أخرى,"49 Amman Street is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",216,
كهروميكا,30.0364304,31.2177982,ثقافي,"كهروميكا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",218,
كوبري قصر النيل,30.0436895,31.2298343,أخرى,"كوبري قصر النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",224,
Unfinished Northern Pyramid of Zawyet El Aryan,29.9401222,31.151556,تاريخي,Unfinished Northern Pyramid of Zawyet El Aryan is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,232,
Double Pyramid,29.89306,31.20306,تاريخي,Double Pyramid is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,233,
Lepsius XXIV,29.893528,31.202861,تاريخي,Lepsius XXIV is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,234,
Pyramid of Khentkaus II,29.894139,31.2025,تاريخي,Pyramid of Khentkaus II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,235,
Unfinished Pyramid of Abusir,29.89861,31.20167,أخرى,Unfinished Pyramid of Abusir is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,236,
Qakare Ibi,29.84167,31.21778,تاريخي,"Qakare Ibi is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",237,
Pyramid of Reherishefnakht,29.85389,31.21778,تاريخي,Pyramid of Reherishefnakht is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,238,
Layer Pyramid,29.93282,31.161262,تاريخي,Layer Pyramid is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,239,
المجموعة ٢,30.0796697,31.4048892,ثقافي,"المجموعة ٢ is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",241,
STAR INK,29.9543832,31.2592845,ثقافي,"STAR INK is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",242,
الميدان المركزي للمصاطب والمقابر الصخرية,29.973947,31.1380005,أخرى,"الميدان المركزي للمصاطب والمقابر الصخرية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",244,
Southern field of mainly rock cut tombs,29.9689654,31.1398941,أخرى,Southern field of mainly rock cut tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,245,
Mastabas and rock cut tombs,29.9743792,31.1346424,أخرى,Mastabas and rock cut tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,246,
المقبرة الغربية,29.9799042,31.1309892,أخرى,"المقبرة الغربية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",248,
Work,29.9855985,31.3046659,ثقافي,"Work is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",251,
تمثال قصر النيل,30.0439664,31.231621,أخرى,"تمثال قصر النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",255,
Carrefour MAADI,29.9822264,31.3161741,أخرى,"Carrefour MAADI is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",256,
الحى السادس مدينة نصر,30.0506511,31.3119196,أخرى,"الحى السادس مدينة نصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",258,
Cairo Photography Club,29.959,31.257741,أخرى,"Cairo Photography Club is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",261,
Fisher Boats,29.9982082,31.2254095,أخرى,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",262,
Fisher Boats,29.9957645,31.2257365,أخرى,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",263,
دار مناسبات مسجد الشرطة,30.0520993,31.2762919,أخرى,دار مناسبات مسجد الشرطة is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,264,
أم كلثوم,30.0640916,31.2157202,ثقافي,"أم كلثوم is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",267,
جامعة القاهرة,30.0287374,31.207713,ثقافي,"جامعة القاهرة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",268,
العودة,30.066004,31.1743549,ثقافي,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",269,
Mogamma Nasr El Din,30.011417,31.205376,أخرى,"Mogamma Nasr El Din is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",270,
Sasa Sakr Quraish,29.9861423,31.291293,أخرى,"Sasa Sakr Quraish is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",271,
Apple,29.9547,31.0038741,ثقافي,"Apple is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",272,
بداية طريق شبرا بنها الجديد,30.1496727,31.2577607,أخرى,"بداية طريق شبرا بنها الجديد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",276,
تحت الكوبري للعبور للجهة المقابلة,30.093321,31.3386382,أخرى,"تحت الكوبري للعبور للجهة المقابلة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",278,
برج النواوى السكنى,30.0858049,31.2906424,أخرى,"برج النواوى السكنى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",279,
مكتب المحامي,30.0036873,31.173352,ثقافي,"مكتب المحامي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",281,
Main Entrance Gate,30.0169542,31.3897913,أخرى,"Main Entrance Gate is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",283,
مسجد صبحي حسين,30.0000041,31.3308456,أخرى,مسجد صبحي حسين is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,284,
أبراج الصفا و المروة,29.9901734,31.1621553,أخرى,"أبراج الصفا و المروة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",287,
Magic House,29.9807791,31.1380728,أخرى,"Magic House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",289,
شركة سيما للمواد الغذائية,29.9726675,31.1635427,ثقافي,"شركة سيما للمواد الغذائية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",292,
Leith ibn saud mosque,30.0076121,31.2577156,أخرى,Leith ibn saud mosque is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,296,
My new home,30.0668366,30.9478739,أخرى,"My new home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",303,
captain ashraf taher home,30.1079842,31.3428974,أخرى,"captain ashraf taher home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",307,
Cairo home,30.0750677,30.9812816,أخرى,"Cairo home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",308,
