name,latitude,longitude,category,description,place_id,price_egp
قلعة الجندي,29.8514696,33.1304623,other,"قلعة الجندي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",46,
St. Antony's cave,28.9114738,32.3545669,other,"St. Antony's cave is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",47,
متحف جاير أندرسون,30.0283804,31.2507258,cultural,متحف جاير أندرسون في القاهرة الإسلامية يتكوّن من منزلين تاريخيين من القرن السابع عشر يصوّران الحياة المنزلية في مصر الإسلامية. جمعه المقدم البريطاني جاير أندرسون ويحتوي على أثاث وتحف إسلامية وأسلحة وعملات نفيسة. يُعدّ نموذجاً استثنائياً للعمارة المنزلية المملوكية المحفوظة.,51,80.0
سي أف سي سي,30.0839215,31.3330909,other,"سي أف سي سي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",52,
مسلة المطرية,30.1294036,31.3074812,cultural,"مسلة المطرية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",58,
المتخف الجيولوجي المصري,29.9961855,31.2287249,cultural,"المتخف الجيولوجي المصري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",65,
falluka rides,29.9569275,31.2505059,other,"falluka rides is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",66,
طلعت حرب,30.0476098,31.2384944,cultural,تمثال طلعت حرب يحتفي بمؤسس بنك مصر عام 1920 ورائد الاقتصاد الوطني المصري. ناضل من أجل إنشاء صناعة وطنية مستقلة في مواجهة الهيمنة الاقتصادية الأجنبية. يقف التمثال في الميدان المسمى باسمه في وسط القاهرة التجاري.,68,
Imhotep Temple,29.8692525,31.2173005,historical,"The Imhotep Museum at Saqqara celebrates the genius of Imhotep, the architect of the first pyramid and later deified as a god of medicine. Built near the Step Pyramid complex, it houses remarkable artifacts discovered at Saqqara including gilded mummy masks, canopic jars, and ancient papyri. The museum offers essential context for understanding this pivotal site of Egypt's funerary heritage.",70,180.0
Serapheum,29.8760471,31.2100388,other,"Serapheum is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",71,
Rokn Farouk,29.8470384,31.2948309,cultural,"Rokn Farouk is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",75,
Wax museum,29.8601958,31.3257085,cultural,"Cairo's Wax Museum features life-size wax figures of prominent Egyptian historical and cultural figures including pharaohs, political leaders, artists, and sports personalities. Located in the entertainment district, it offers an interactive way to engage with Egypt's diverse heritage from ancient to modern times.",76,80.0
متحف أم كلثوم,30.0076221,31.2248842,cultural,متحف أم كلثوم في جزيرة الروضة بالقاهرة يحتفي بحياة كوكب الشرق أعظم مطربة في تاريخ الموسيقى العربية. يعرض ملابسها الشخصية ونظاراتها الشهيرة وصور نادرة وتسجيلات موسيقية من مسيرتها الممتدة عبر أربعة عقود. يقدم المتحف صورة حية عن الثقافة المصرية الشعبية في القرن العشرين.,77,40.0
أهرام أبو صير,29.8960933,31.2055264,historical,أهرام أبو صير is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,81,
معبد الشمس,29.8662695,31.2169648,cultural,"معبد الشمس is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",82,
Wissa Wassef Art Center,29.9692025,31.176465,cultural,"Wissa Wassef Art Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",87,
سعد زغلول,30.043433,31.2271103,cultural,تمثال سعد زغلول يخلّد ذكرى زعيم الثورة المصرية عام 1919 ورمز الكفاح الوطني ضد الاحتلال البريطاني. قاد سعد زغلول الوفد المصري في مفاوضات الاستقلال وأسّس حزب الوفد الوطني. يُعدّ من أبرز رموز الهوية الوطنية المصرية الحديثة.,93,
تمثال نجيب محفوظ,30.060569,31.2082276,cultural,تمثال نجيب محفوظ يُكرّم الروائي المصري الوحيد الحائز على جائزة نوبل للآداب عام 1988. ارتبطت أعماله بأحياء القاهرة التاريخية ولا سيما أرباض القاهرة الفاطمية التي صوّرها في ثلاثيته الشهيرة. يُعدّ نجيب محفوظ صوت الضمير الأدبي للمجتمع المصري في القرن العشرين.,94,
Tombs of 3rd Dynasty,29.8768204,31.2132845,other,Tombs of 3rd Dynasty is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,95,
Philosopher's Circle,29.8748295,31.2125335,historical,"The Philosopher's Circle in Alexandria is a unique cultural landmark featuring statues of ancient Greek philosophers and thinkers who studied at or were associated with ancient Alexandria. The circle commemorates the city's golden age as the intellectual capital of the Hellenistic world, home to the Library of Alexandria and the Mouseion research center.",96,
Pyramid of Inének Int,29.8536023,31.2188051,historical,"The pyramid of Inének-Inti at Saqqara is an Old Kingdom pyramid from the 6th Dynasty, built for a queen consort of Pepi I. Though largely ruined today, its burial chamber preserves Pyramid Texts inscribed on the walls, offering valuable insight into ancient Egyptian funerary beliefs and royal rituals.",97,
Pyramid of Ânkhésenpépi II,29.8531752,31.2180183,historical,The pyramid of Ankhesenpepi II at Saqqara dates to the 6th Dynasty and was built for a queen who served as regent for her son Pepi II. The complex includes a mortuary temple and subsidiary pyramids. Its Pyramid Texts represent some of the oldest religious writings in human history.,98,
Pyramid of Ânkhésenpépi III,29.8536735,31.2179984,historical,"The pyramid of Ankhesenpepi III is one of several queens' pyramids located at South Saqqara, dating to the late Old Kingdom 6th Dynasty. The structure, though heavily damaged, forms part of the extensive royal necropolis at Saqqara that spans multiple dynasties.",99,
مسجد خاير بك,30.0358707,31.260191,other,مسجد خاير بك is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,101,
جامع ومدرسة أم السلطان شعبان,30.0371528,31.2595924,other,"جامع ومدرسة أم السلطان شعبان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",102,
مسجد و مقام بدر الدين العيني,30.0447584,31.2632964,other,مسجد و مقام بدر الدين العيني is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,106,
مدفن سليمان باشا الفرنساوي,30.0096136,31.2285789,historical,مدفن سليمان باشا الفرنساوي is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,107,
Public garden,29.9432957,31.0930256,outdoor,"Public garden is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",110,
Ain Helwan,29.860913,31.324357,outdoor,"Ain Helwan is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",115,
MUST Opera House,29.9966129,30.9652826,other,"MUST Opera House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",118,
Art al-lewa,30.0498157,31.1872587,other,"Art al-lewa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",120,
المشربية,30.0439378,31.1999059,cultural,"المشربية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",122,
Egyptian Textile Museum,30.049967,31.2613757,cultural,"The Egyptian Textile Museum in Cairo's Islamic Quarter is the first museum in the Arab world dedicated entirely to textiles. Located in a restored historic building, it traces the 5,000-year history of Egyptian textile production from pharaonic linen to Islamic tapestries and Coptic weavings. The collection includes rare Fatimid-era tiraz fabrics and royal garments.",126,80.0
تمثال اتحاد الكاف,29.9955542,30.9625645,other,"تمثال اتحاد الكاف is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",129,
Talaat Harb Culture Center,30.0238453,31.2524145,cultural,"Talaat Harb Culture Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",135,
المريوطية,30.0697,31.2019873,cultural,"المريوطية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",139,
شبرا,30.0784996,31.2433049,cultural,"شبرا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",140,
Ahmed Mido,30.0786802,31.2434138,cultural,"Ahmed Mido is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",141,
Mohamed Fares,29.8434547,31.340682,other,"Mohamed Fares is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",142,
كورنيش المقطم,30.0161162,31.2757109,other,"كورنيش المقطم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",143,
خان الخليلي و ش الحسين,30.047772,31.261014,cultural,"خان الخليلي و ش الحسين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",144,
تلة الهضبة الحديق الاهرام,29.9698056,31.1073204,other,"تلة الهضبة الحديق الاهرام is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",145,
7ay l 10,30.0491881,31.3790205,other,"7ay l 10 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",148,
Mohamed Awad,29.9965768,31.2941209,other,"Mohamed Awad is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",149,
المنزل - أكتوبر,29.9518724,30.9213208,cultural,"المنزل - أكتوبر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",156,
Arch Valley CNC company,29.9449937,31.0486152,cultural,"Arch Valley CNC company is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",159,
برج الدوحه 11 ش دجله,30.047909,31.1954244,other,"برج الدوحه 11 ش دجله is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",161,
ايجوث,30.0476021,31.2450357,cultural,"ايجوث is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",163,
كومباوند الكرمه ريزيدنس مصر,30.0517604,30.9588135,other,"كومباوند الكرمه ريزيدنس مصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",170,
Mozart,30.0538978,31.1980511,cultural,"Mozart is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",174,
بتروتريد,29.9777086,31.2784966,cultural,"بتروتريد is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",178,
مستشفى ناصر,30.0965672,31.2406548,cultural,"مستشفى ناصر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",181,
مترو دقي,30.0386086,31.2122581,cultural,"مترو دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",182,
رمسيس,30.0616901,31.2470284,cultural,"رمسيس is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",184,
العتبة,30.0509915,31.2499736,cultural,"العتبة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",185,
موقف العاشر,30.0487931,31.378874,cultural,"موقف العاشر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",186,
التعليم الخاص,30.0380547,31.3413567,cultural,"التعليم الخاص is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",187,
العودة,30.0532485,31.342352,cultural,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",188,
مركز الفتح,29.9633978,31.2582621,cultural,"مركز الفتح is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",189,
مصاري,30.0450738,31.2401143,cultural,"مصاري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",190,
محل اواعي,30.0508375,31.2424482,cultural,"محل اواعي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",191,
دقي,30.0389658,31.2099693,cultural,"دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",193,
تركترون,30.0461664,31.3547934,cultural,"تركترون is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",194,
اول الشارع,30.0684326,31.3363238,cultural,"اول الشارع is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",195,
سراج مول,30.0512224,31.3501105,cultural,"سراج مول is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",196,
هوندا,30.0169758,31.2290052,cultural,"هوندا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",197,
شركه رفتراك مصر للتبريد,30.1389147,31.3968,other,"شركه رفتراك مصر للتبريد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",199,
رسم زجاج و اركت وكروشية,30.0531415,30.9880123,cultural,"رسم زجاج و اركت وكروشية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",202,
شركة إيواي للسياحة,30.1068587,31.3266973,cultural,"شركة إيواي للسياحة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",204,
No name,30.1189384,31.3063474,other,"No name is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",205,
Arabeya Apartments,30.0666781,31.2087436,other,"Arabeya Apartments is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",207,
Photo point of Pyramids,29.9688067,31.1265741,other,Photo point of Pyramids is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,210,
آثار عين شمس . مدينة اون القديمة .,30.1260972,31.3192333,other,"آثار عين شمس . مدينة اون القديمة . is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",211,
49 Amman Street,30.0411108,31.2042596,other,"49 Amman Street is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",216,
كهروميكا,30.0364304,31.2177982,cultural,"كهروميكا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",218,
كوبري قصر النيل,30.0436895,31.2298343,other,"كوبري قصر النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",224,
Unfinished Northern Pyramid of Zawyet El Aryan,29.9401222,31.151556,historical,Unfinished Northern Pyramid of Zawyet El Aryan is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,232,
Double Pyramid,29.89306,31.20306,historical,Double Pyramid is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,233,
Lepsius XXIV,29.893528,31.202861,historical,Lepsius XXIV is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,234,
Pyramid of Khentkaus II,29.894139,31.2025,historical,Pyramid of Khentkaus II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,235,
Unfinished Pyramid of Abusir,29.89861,31.20167,other,Unfinished Pyramid of Abusir is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,236,
Qakare Ibi,29.84167,31.21778,historical,"Qakare Ibi is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",237,
Pyramid of Reherishefnakht,29.85389,31.21778,historical,Pyramid of Reherishefnakht is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,238,
Layer Pyramid,29.93282,31.161262,historical,Layer Pyramid is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,239,
المجموعة ٢,30.0796697,31.4048892,cultural,"المجموعة ٢ is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",241,
STAR INK,29.9543832,31.2592845,cultural,"STAR INK is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",242,
الميدان المركزي للمصاطب والمقابر الصخرية,29.973947,31.1380005,other,"الميدان المركزي للمصاطب والمقابر الصخرية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",244,
Southern field of mainly rock cut tombs,29.9689654,31.1398941,other,Southern field of mainly rock cut tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,245,
Mastabas and rock cut tombs,29.9743792,31.1346424,other,Mastabas and rock cut tombs is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,246,
المقبرة الغربية,29.9799042,31.1309892,other,"المقبرة الغربية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",248,
Work,29.9855985,31.3046659,cultural,"Work is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",251,
تمثال قصر النيل,30.0439664,31.231621,other,"تمثال قصر النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",255,
Carrefour MAADI,29.9822264,31.3161741,other,"Carrefour MAADI is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",256,
الحى السادس مدينة نصر,30.0506511,31.3119196,other,"الحى السادس مدينة نصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",258,
Cairo Photography Club,29.959,31.257741,other,"Cairo Photography Club is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",261,
Fisher Boats,29.9982082,31.2254095,other,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",262,
Fisher Boats,29.9957645,31.2257365,other,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",263,
دار مناسبات مسجد الشرطة,30.0520993,31.2762919,other,دار مناسبات مسجد الشرطة is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,264,
أم كلثوم,30.0640916,31.2157202,cultural,"أم كلثوم is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",267,
جامعة القاهرة,30.0287374,31.207713,cultural,"جامعة القاهرة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",268,
العودة,30.066004,31.1743549,cultural,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",269,
Mogamma Nasr El Din,30.011417,31.205376,other,"Mogamma Nasr El Din is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",270,
Sasa Sakr Quraish,29.9861423,31.291293,other,"Sasa Sakr Quraish is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",271,
Apple,29.9547,31.0038741,cultural,"Apple is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",272,
بداية طريق شبرا بنها الجديد,30.1496727,31.2577607,other,"بداية طريق شبرا بنها الجديد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",276,
تحت الكوبري للعبور للجهة المقابلة,30.093321,31.3386382,other,"تحت الكوبري للعبور للجهة المقابلة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",278,
برج النواوى السكنى,30.0858049,31.2906424,other,"برج النواوى السكنى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",279,
مكتب المحامي,30.0036873,31.173352,cultural,"مكتب المحامي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",281,
Main Entrance Gate,30.0169542,31.3897913,other,"Main Entrance Gate is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",283,
مسجد صبحي حسين,30.0000041,31.3308456,other,مسجد صبحي حسين is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,284,
أبراج الصفا و المروة,29.9901734,31.1621553,other,"أبراج الصفا و المروة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",287,
Magic House,29.9807791,31.1380728,other,"Magic House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",289,
شركة سيما للمواد الغذائية,29.9726675,31.1635427,cultural,"شركة سيما للمواد الغذائية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",292,
Leith ibn saud mosque,30.0076121,31.2577156,other,Leith ibn saud mosque is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,296,
My new home,30.0668366,30.9478739,other,"My new home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",303,
captain ashraf taher home,30.1079842,31.3428974,other,"captain ashraf taher home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",307,
Cairo home,30.0750677,30.9812816,other,"Cairo home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",308,
Barakat Home (6th of Oct),29.960197,30.9401359,other,"Barakat Home (6th of Oct) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",314,
نادى المحامين النهرى,29.9907548,31.2283862,other,"نادى المحامين النهرى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",319,
miraj hall,29.9559813,31.153332,other,"miraj hall is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",323,
ABUSIMBEL PAPYRUS,29.9813351,31.1430577,cultural,"ABUSIMBEL PAPYRUS is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",324,
مقر سناك شوت,29.9964033,31.3127957,cultural,"مقر سناك شوت is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",327,
Farida home,29.9945901,30.982463,other,"Farida home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",335,
